instance,student-STUDENT_BIAS,student-LOOPS,student-CONDITIONS,student-LOGIC_EXPR,student-COLORS,student-TOKENS,student-PITS,task-id,task-TASK_BIAS,task-LOOPS,task-CONDITIONS,task-LOGIC_EXPR,task-COLORS,task-TOKENS,task-PITS,instructions,flow-prediction,time-spent,flow-report,updated-task-difficulty
1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,-0.984,0,0,0,0,0,0,"Úkolem hry je dostat robota k truhle s pokladem. Pokud robot robot narazí do zdi, rozbije se.",-0.018302240124272413,10,3,-1.106
2,-0.48,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23,-0.388,0.2,0,0,0,0,0,"Úkolem hry je dostat robota k truhle s pokladem. Pokud robot robot narazí do zdi, rozbije se. Při řešení úlohy můžete využít cykly. Cykly se hodí pro opakované vykonávání stejných příkazů bez nutnosti zbytečně psát nadbytečný kód.",-0.3298721908735673,10,3,-0.548
3,0.121,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37,0.085,0.2,0,0,0,0.2,0,"Úkolem hry je dostat robota k truhle s pokladem. Pokud robot robot narazí do zdi, rozbije se. Po bludišti jsou různě rozmístěné klíče od truhly, které robot potřebuje sesbírat. Bez nich nelze truhlu s pokladem otevřít.",0.041173697012011984,10,3,-0.03
4,0.601,1.0,-1.0,-1.0,-1.0,1.0,-1.0,30,0.636,0.2,0.2,0,0,0,0,"Úkolem hry je dostat robota k truhle s pokladem. Pokud robot robot narazí do zdi, rozbije se. V této úloze bude potřeba využít větvení programu pomocí podmínek. V určité chvíli se bude robot muset rozhodnout, jakou další akci vykoná podle aktuální situace, ve které se bude nacházet.",-0.040030404154444185,10,3,0.511
5,1.096,1.0,1.0,-1.0,-1.0,1.0,-1.0,43,1.121,0.2,0,0.2,0,0.2,0.2,"Úkolem hry je dostat robota k truhle s pokladem. Pokud robot robot narazí do zdi, rozbije se. Při procházení bludiště si dejte pozor na jámy. Robot je neumí odhalit a pokud do některé spadne, tak se z nich už neumí dostat. Tato úloha vyžaduje použít logické výrazy v podmínkách.",-0.02859568706321413,10,3,0.998
6,1.578,1.0,1.0,1.0,-1.0,1.0,1.0,38,1.545,0.2,0.2,0.2,0.2,0,0.2,"Úkolem hry je dostat robota k truhle s pokladem. Pokud robot robot narazí do zdi, rozbije se. Některá políčka v tomto bludišti mají jinou než bílou barvu. Robot umí barvy rozlišovat a využít je k navigaci v bludišti.",0.683981768544885,10,3,1.507
7,1.842,1.0,1.0,1.0,1.0,1.0,1.0,36,1.15,0.2,0.2,0.2,0.2,0,0,"Úkolem hry je dostat robota k truhle s pokladem. Pokud robot robot narazí do zdi, rozbije se.",1.3029604290353576,10,3,1.186
8,1.919,1.0,1.0,1.0,1.0,1.0,1.0,33,1.033,0.2,0.2,0,0.2,0.2,0,"Úkolem hry je dostat robota k truhle s pokladem. Pokud robot robot narazí do zdi, rozbije se.",1.388087220329253,10,3,1.08
9,1.97,1.0,1.0,1.0,1.0,1.0,1.0,47,1.027,0.2,0,0,0.2,0.2,0.2,"Úkolem hry je dostat robota k truhle s pokladem. Pokud robot robot narazí do zdi, rozbije se.",1.4099389311410733,10,3,1.076
10,2.013,1.0,1.0,1.0,1.0,1.0,1.0,40,1.025,0.2,0.2,0,0.2,0.2,0,"Úkolem hry je dostat robota k truhle s pokladem. Pokud robot robot narazí do zdi, rozbije se.",1.4262528797666811,10,3,1.076
